id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,utm_x,utm_y
001027-073567-00000-X,"אבן גבירול 26, דימונה",דימונה,אבן גבירול,26,,,exact,204095.45,553728.79,,
001027-073567-00001-X,"אבן גבירול 20, דימונה",דימונה,אבן גבירול,20,,,exact,204114.25,553793.90,,
001027-073567-00002-X,"אבן גבירול 21, דימונה",דימונה,אבן גבירול,21,,,exact,204106.73,553926.11,,
001027-073567-00003-X,"אבן גבירול 33, דימונה",דימונה,אבן גבירול,33,,,exact,204167.29,553839.37,,
001027-073567-00004-X,"אבן גבירול 17, דימונה",דימונה,אבן גבירול,17,,,exact,204073.57,553927.98,,
001027-073567-00005-X,"אבן גבירול 18, דימונה",דימונה,אבן גבירול,18,,,exact,204095.77,553802.08,,
001027-073567-00006-X,"אבן גבירול 36, דימונה",דימונה,אבן גבירול,36,,,exact,204113.59,553646.56,,
001027-073567-00007-X,"אבן גבירול 9, דימונה",דימונה,אבן גבירול,9,,,exact,203991.86,553909.08,,
001027-073567-00008-X,"אבן גבירול 29, דימונה",דימונה,אבן גבירול,29,,,exact,204171.66,553889.26,,
001027-073567-00009-X,"אבן גבירול 28, דימונה",דימונה,אבן גבירול,28,,,exact,204114.83,553721.23,,
001027-073567-00010-X,"אבן גבירול 14, דימונה",דימונה,אבן גבירול,14,,,exact,204097.41,553840.27,,
001027-073567-00011-X,"אבן גבירול 35, דימונה",דימונה,אבן גבירול,35,,,exact,204174.33,553823.66,,
001027-073567-00012-X,"אבן גבירול 22, דימונה",דימונה,אבן גבירול,22,,,exact,204095.65,553763.44,,
001027-073567-00013-X,"אבן גבירול 51, דימונה",דימונה,אבן גבירול,51,,,exact,204166.37,553650.45,,
001027-073567-00014-X,"אבן גבירול 19, דימונה",דימונה,אבן גבירול,19,,,exact,204079.56,553909.90,,
001027-073567-00015-X,"אבן גבירול 4, דימונה",דימונה,אבן גבירול,4,,,exact,203968.16,553858.84,,
001027-073567-00016-X,"אבן גבירול 16, דימונה",דימונה,אבן גבירול,16,,,exact,204088.50,553820.68,,
001027-073567-00017-X,"אבן גבירול 24, דימונה",דימונה,אבן גבירול,24,,,exact,204089.59,553745.38,,
001027-073567-00018-X,"אבן גבירול 43, דימונה",דימונה,אבן גבירול,43,,,exact,204168.27,553735.94,,
001027-073567-00019-X,"אבן גבירול 47, דימונה",דימונה,אבן גבירול,47,,,exact,204175.32,553684.90,,
001027-073567-00020-X,"אבן גבירול 1, דימונה",דימונה,אבן גבירול,1,,,exact,203943.00,553908.81,,
001027-073567-00021-X,"אבן גבירול 15, דימונה",דימונה,אבן גבירול,15,,,exact,204055.26,553935.22,,
001027-073567-00022-X,"אבן גבירול 2, דימונה",דימונה,אבן גבירול,2,,,exact,203953.25,553862.86,,
001027-073567-00023-X,"אבן גבירול 30, דימונה",דימונה,אבן גבירול,30,,,exact,204095.52,553688.89,,
001027-073567-00024-X,"אבן גבירול 45, דימונה",דימונה,אבן גבירול,45,,,exact,204168.78,553701.52,,
001027-073567-00025-X,"אבן גבירול 5, דימונה",דימונה,אבן גבירול,5,,,exact,203966.66,553935.14,,
001027-073567-00026-X,"אבן גבירול 11, דימונה",דימונה,אבן גבירול,11,,,exact,204030.42,553909.30,,
001027-073567-00027-X,"אבן גבירול 31, דימונה",דימונה,אבן גבירול,31,,,exact,204164.18,553871.98,,
001027-073567-00028-X,"אבן גבירול 7, דימונה",דימונה,אבן גבירול,7,,,exact,203984.57,553928.08,,
001027-073567-00029-X,"אבן גבירול 34, דימונה",דימונה,אבן גבירול,34,,,exact,204096.23,553653.60,,
001027-073567-00030-X,"אבן גבירול 23, דימונה",דימונה,אבן גבירול,23,,,exact,204123.25,553935.75,,
001027-073567-00031-X,"אבן גבירול 10, דימונה",דימונה,אבן גבירול,10,,,exact,204056.89,553858.56,,
001027-073567-00032-X,"אבן גבירול 8, דימונה",דימונה,אבן גבירול,8,,,exact,204037.68,553865.11,,
001027-073567-00033-X,"אבן גבירול 25, דימונה",דימונה,אבן גבירול,25,,,exact,204140.67,553927.53,,
001027-073567-00034-X,"אבן גבירול 3, דימונה",דימונה,אבן גבירול,3,,,exact,203949.49,553926.61,,
001027-073567-00035-X,"אבן גבירול 37, דימונה",דימונה,אבן גבירול,37,,,exact,204166.37,553805.73,,
001027-073567-00036-X,"אבן גבירול 6, דימונה",דימונה,אבן גבירול,6,,,exact,203986.43,553865.49,,
001027-073567-00037-X,"אבן גבירול 41, דימונה",דימונה,אבן גבירול,41,,,exact,204174.58,553753.87,,
001027-073567-00038-X,"אבן גבירול 13, דימונה",דימונה,אבן גבירול,13,,,exact,204041.18,553929.52,,
001027-073567-00039-X,"אבן גבירול 12, דימונה",דימונה,אבן גבירול,12,,,exact,204076.67,553865.11,,
001027-073567-00040-X,"אבן גבירול 32, דימונה",דימונה,אבן גבירול,32,,,exact,204089.75,553671.45,,
001027-073567-00041-X,"אבן עזרא 5, דימונה",דימונה,אבן עזרא,5,,,exact,204067.36,553575.45,,
001027-073567-00042-X,"אבן עזרא 4, דימונה",דימונה,אבן עזרא,4,,,exact,204021.59,553587.94,,
001027-073567-00043-X,"אבן עזרא 19, דימונה",דימונה,אבן עזרא,19,,,exact,204064.94,553465.66,,
001027-073567-00044-X,"אבן עזרא 2, דימונה",דימונה,אבן עזרא,2,,,exact,204025.06,553601.02,,
001027-073567-00045-X,"אבן עזרא 13, דימונה",דימונה,אבן עזרא,13,,,exact,204067.19,553508.02,,
001027-073567-00046-X,"אבן עזרא 8, דימונה",דימונה,אבן עזרא,8,,,exact,204023.45,553556.27,,
001027-073567-00047-X,"אבן עזרא 1, דימונה",דימונה,אבן עזרא,1,,,exact,204066.98,553605.35,,
001027-073567-00048-X,"אבן עזרא 10, דימונה",דימונה,אבן עזרא,10,,,exact,204025.84,553542.11,,
001027-073567-00049-X,"אבן עזרא 3, דימונה",דימונה,אבן עזרא,3,,,exact,204065.87,553591.51,,
001027-073567-00050-X,"אבן עזרא 7, דימונה",דימונה,אבן עזרא,7,,,exact,204065.94,553563.20,,
001027-073567-00051-X,"אבן עזרא 9, דימונה",דימונה,אבן עזרא,9,,,exact,204067.06,553547.11,,
001027-073567-00052-X,"אדר 4, דימונה",דימונה,אדר,4,,,exact,203754.92,554079.35,,
001027-073567-00053-X,"אדר 21, דימונה",דימונה,אדר,21,,,exact,203843.73,554113.92,,
001027-073567-00054-X,"אדר 17, דימונה",דימונה,אדר,17,,,exact,203824.35,554115.39,,
001027-073567-00055-X,"אדר 12, דימונה",דימונה,אדר,12,,,exact,203791.29,554079.20,,
001027-073567-00056-X,"אדר 16, דימונה",דימונה,אדר,16,,,exact,203809.15,554078.10,,
001027-073567-00057-X,"אורון 6, דימונה",דימונה,אורון,6,,,exact,202863.97,552513.65,,
001027-073567-00058-X,"אורון 5, דימונה",דימונה,אורון,5,,,exact,202854.48,552555.75,,
001027-073567-00059-X,"אורון 11, דימונה",דימונה,אורון,11,,,exact,202917.91,552551.25,,
001027-073567-00060-X,"אורון 4, דימונה",דימונה,אורון,4,,,exact,202849.89,552515.99,,
001027-073567-00061-X,"אזוב 10, דימונה",דימונה,אזוב,10,,,exact,204193.11,554077.47,,
001027-073567-00062-X,"אזוב 4, דימונה",דימונה,אזוב,4,,,exact,204195.23,554045.63,,
001027-073567-00063-X,"אזוב 6, דימונה",דימונה,אזוב,6,,,exact,204192.90,554056.55,,
001027-073567-00064-X,"אלחריזי 9, דימונה",דימונה,אלחריזי,9,,,exact,204034.49,553703.74,,
001027-073567-00065-X,"אלחריזי 5, דימונה",דימונה,אלחריזי,5,,,exact,203969.71,553796.68,,
001027-073567-00066-X,"אלחריזי 7, דימונה",דימונה,אלחריזי,7,,,exact,204001.19,553751.92,,
001027-073567-00067-X,"אלחריזי 14, דימונה",דימונה,אלחריזי,14,,,exact,203989.33,553679.51,,
001027-073567-00068-X,"אלחריזי 22, דימונה",דימונה,אלחריזי,22,,,exact,204029.14,553633.91,,
001027-073567-00069-X,"אמנון ותמר 11, דימונה",דימונה,אמנון ותמר,11,,,exact,202994.83,553842.81,,
001027-073567-00070-X,"אמנון ותמר 9, דימונה",דימונה,אמנון ותמר,9,,,exact,202989.60,553828.06,,
001027-073567-00071-X,"אמנון ותמר 3, דימונה",דימונה,אמנון ותמר,3,,,exact,202992.94,553786.96,,
001027-073567-00072-X,"אמנון ותמר 19, דימונה",דימונה,אמנון ותמר,19,,,exact,202987.71,553904.56,,
001027-073567-00073-X,"אסף 1019, דימונה",דימונה,אסף,1019,,,exact,202617.21,553466.15,,
001027-073567-00074-X,"אסף 3, דימונה",דימונה,אסף,3,,,exact,202654.81,553554.09,,
001027-073567-00075-X,"אסף 18, דימונה",דימונה,אסף,18,,,exact,202666.26,553497.90,,
001027-073567-00076-X,"אקליפטוס איקליפטוס 11, דימונה",דימונה,אקליפטוס,איקליפטוס 11,,,none,,,,
001027-073567-00077-X,"אקליפטוס איקליפטוס 55, דימונה",דימונה,אקליפטוס,איקליפטוס 55,,,none,,,,
001027-073567-00078-X,"אקליפטוס איקליפטוס 57, דימונה",דימונה,אקליפטוס,איקליפטוס 57,,,none,,,,
001027-073567-00079-X,"אקליפטוס איקליפטוס 31, דימונה",דימונה,אקליפטוס,איקליפטוס 31,,,none,,,,
001027-073567-00080-X,"אקליפטוס איקליפטוס 9, דימונה",דימונה,אקליפטוס,איקליפטוס 9,,,none,,,,
001027-073567-00081-X,"אקליפטוס איקליפטוס 20, דימונה",דימונה,אקליפטוס,איקליפטוס 20,,,none,,,,
001027-073567-00082-X,"אקליפטוס איקליפטוס 1, דימונה",דימונה,אקליפטוס,איקליפטוס 1,,,none,,,,
001027-073567-00083-X,"אקליפטוס איקליפטוס 22, דימונה",דימונה,אקליפטוס,איקליפטוס 22,,,none,,,,
001027-073567-00084-X,"אקליפטוס איקליפטוס 51, דימונה",דימונה,אקליפטוס,איקליפטוס 51,,,none,,,,
001027-073567-00085-X,"אקליפטוס איקליפטוס 7, דימונה",דימונה,אקליפטוס,איקליפטוס 7,,,none,,,,
001027-073567-00086-X,"אקליפטוס איקליפטוס 21, דימונה",דימונה,אקליפטוס,איקליפטוס 21,,,none,,,,
001027-073567-00087-X,"אקליפטוס איקליפטוס 25, דימונה",דימונה,אקליפטוס,איקליפטוס 25,,,none,,,,
001027-073567-00088-X,"אשחר 5, דימונה",דימונה,אשחר,5,,,exact,204018.81,554113.70,,
001027-073567-00089-X,"אשחר 23, דימונה",דימונה,אשחר,23,,,exact,204100.29,554113.57,,
001027-073567-00090-X,"אשחר 25, דימונה",דימונה,אשחר,25,,,exact,204118.42,554110.28,,
001027-073567-00091-X,"אשחר 17, דימונה",דימונה,אשחר,17,,,exact,204080.68,554112.61,,
001027-073567-00092-X,"אשחר 20, דימונה",דימונה,אשחר,20,,,exact,204097.39,554085.66,,
001027-073567-00093-X,"אשחר 13, דימונה",דימונה,אשחר,13,,,exact,204058.45,554115.39,,
001027-073567-00094-X,"אשחר 6, דימונה",דימונה,אשחר,6,,,exact,204027.34,554081.58,,
001027-073567-00095-X,"אשחר 28, דימונה",דימונה,אשחר,28,,,exact,204133.92,554080.38,,
001027-073567-00096-X,"אשחר 16, דימונה",דימונה,אשחר,16,,,exact,204078.17,554082.22,,
001027-073567-00097-X,"אשחר 3, דימונה",דימונה,אשחר,3,,,exact,204005.84,554113.33,,
001027-073567-00098-X,"אשחר 24, דימונה",דימונה,אשחר,24,,,exact,204115.18,554081.70,,
001027-073567-00099-X,"אשחר 26, דימונה",דימונה,אשחר,26,,,exact,204121.95,554077.65,,
001027-073567-00100-X,"אשחר 31, דימונה",דימונה,אשחר,31,,,exact,204152.92,554116.50,,
001027-073567-00101-X,"בבא סאלי 53, דימונה",דימונה,בבא סאלי,53,,,exact,202855.79,552074.75,,
001027-073567-00102-X,"בבא סאלי 79, דימונה",דימונה,בבא סאלי,79,,,exact,203292.62,552274.07,,
001027-073567-00103-X,"בבא סאלי 74, דימונה",דימונה,בבא סאלי,74,,,exact,203042.71,552129.03,,
001027-073567-00104-X,"בבא סאלי 113, דימונה",דימונה,בבא סאלי,113,,,exact,203379.81,552323.71,,
001027-073567-00105-X,"בבא סאלי 121, דימונה",דימונה,בבא סאלי,121,,,exact,203431.84,552338.68,,
001027-073567-00106-X,"בבא סאלי 25, דימונה",דימונה,בבא סאלי,25,,,exact,202650.87,552084.22,,
001027-073567-00107-X,"בבא סאלי 126, דימונה",דימונה,בבא סאלי,126,,,exact,203463.78,552407.02,,
001027-073567-00108-X,"בבא סאלי 70, דימונה",דימונה,בבא סאלי,70,,,exact,203024.82,552121.51,,
001027-073567-00109-X,"בבא סאלי 31, דימונה",דימונה,בבא סאלי,31,,,exact,202690.76,552075.46,,
001027-073567-00110-X,"בבא סאלי 72, דימונה",דימונה,בבא סאלי,72,,,exact,203013.14,552117.26,,
001027-073567-00111-X,"בבא סאלי 49, דימונה",דימונה,בבא סאלי,49,,,exact,202828.66,552073.84,,
001027-073567-00112-X,"בבא סאלי 78, דימונה",דימונה,בבא סאלי,78,,,exact,203085.43,552146.50,,
001027-073567-00113-X,"בבא סאלי 20, דימונה",דימונה,בבא סאלי,20,,,exact,202644.45,552019.41,,
001027-073567-00114-X,"בבא סאלי 12, דימונה",דימונה,בבא סאלי,12,,,exact,202596.58,552009.73,,
001027-073567-00115-X,"בבא סאלי 54, דימונה",דימונה,בבא סאלי,54,,,exact,202880.53,552043.87,,
001027-073567-00116-X,"בבא סאלי 76, דימונה",דימונה,בבא סאלי,76,,,exact,203054.91,552133.94,,
001027-073567-00117-X,"בבא סאלי 66, דימונה",דימונה,בבא סאלי,66,,,none,,,,
001027-073567-00118-X,"בבא סאלי 71, דימונה",דימונה,בבא סאלי,71,,,none,,,,
001027-073567-00119-X,"בבא סאלי 77, דימונה",דימונה,בבא סאלי,77,,,none,,,,
001027-073567-00120-X,"בבא סאלי 60, דימונה",דימונה,בבא סאלי,60,,,exact,202956.73,552079.81,,
001027-073567-00121-X,"בבא סאלי 1, דימונה",דימונה,בבא סאלי,1,,,exact,202483.96,552131.08,,
001027-073567-00122-X,"בבא סאלי 7, דימונה",דימונה,בבא סאלי,7,,,exact,202512.68,552117.20,,
001027-073567-00123-X,"בבא סאלי 21, דימונה",דימונה,בבא סאלי,21,,,none,,,,
