id,address,zip,match_type,itm_x,itm_y,utm_x,utm_y
001027-074211-00352-X,"התאנה 352, דימונה",86027,street,202509.70,552600.96,693386.87,3438512.95
001027-074211-00354-X,"התאנה 354, דימונה",86027,street,202509.70,552600.96,693386.87,3438512.95
001027-074211-00356-X,"התאנה 356, דימונה",86027,street,202509.70,552600.96,693386.87,3438512.95
001027-074211-00358-X,"התאנה 358, דימונה",86027,street,202509.70,552600.96,693386.87,3438512.95
001027-074211-00362-X,"התאנה 362, דימונה",86027,street,202509.70,552600.96,693386.87,3438512.95
001027-074211-00364-X,"התאנה 364, דימונה",86027,street,202509.70,552600.96,693386.87,3438512.95
001027-074211-00366-X,"התאנה 366, דימונה",86027,street,202509.70,552600.96,693386.87,3438512.95
001027-074211-00368-X,"התאנה 368, דימונה",86027,street,202509.70,552600.96,693386.87,3438512.95
001027-074211-00374-X,"התאנה 374, דימונה",86027,street,202509.70,552600.96,693386.87,3438512.95
001027-074211-00380-X,"התאנה 380, דימונה",86027,street,202509.70,552600.96,693386.87,3438512.95
001027-074211-00382-X,"התאנה 382, דימונה",86027,street,202509.70,552600.96,693386.87,3438512.95
001027-074430-00001-X,"הגפן 1, דימונה",86028,exact,202669.83,552683.95,693545.33,3438599.11
001027-074430-00002-X,"הגפן 2, דימונה",86028,street,202374.59,552635.90,693251.09,3438545.20
001027-074430-00004-X,"הגפן 4, דימונה",86028,exact,202569.61,552707.25,693444.67,3438620.41
001027-074430-00005-X,"הגפן 5, דימונה",86028,exact,202638.73,552681.53,693514.29,3438596.07
001027-074430-00006-X,"הגפן 6, דימונה",86028,exact,202557.38,552685.74,693432.86,3438598.66
001027-074430-00007-X,"הגפן 7, דימונה",86028,exact,202599.12,552675.90,693474.79,3438589.65
001027-074430-00008-X,"הגפן 8, דימונה",86028,exact,202538.76,552687.98,693414.20,3438600.53
001027-074430-00009-X,"הגפן 9, דימונה",86028,exact,202590.36,552670.36,693466.14,3438583.94
001027-074430-00010-X,"הגפן 10, דימונה",86028,exact,202529.78,552680.96,693405.36,3438593.34
001027-074430-00011-X,"הגפן 11, דימונה",86028,exact,202576.30,552671.43,693452.07,3438584.73
001027-074430-00012-X,"הגפן 12, דימונה",86028,exact,202509.01,552687.92,693384.45,3438599.89
001027-074430-00013-X,"הגפן 13, דימונה",86028,exact,202567.40,552673.63,693443.12,3438586.75
001027-074430-00014-X,"הגפן 14, דימונה",86028,exact,202503.23,552679.09,693378.86,3438590.94
001027-074430-00015-X,"הגפן 15, דימונה",86028,exact,202542.01,552664.37,693417.92,3438576.99
001027-074430-00016-X,"הגפן 16, דימונה",86028,exact,202506.86,552714.60,693381.78,3438626.52
001027-074430-00017-X,"הגפן 17, דימונה",86028,exact,202540.28,552658.31,693416.31,3438570.90
001027-074430-00018-X,"הגפן 18, דימונה",86028,exact,202497.59,552709.48,693372.61,3438621.21
001027-074430-00019-X,"הגפן 19, דימונה",86028,exact,202529.69,552663.83,693405.61,3438576.20
001027-074430-00021-X,"הגפן 21, דימונה",86028,exact,202514.09,552660.05,693390.09,3438572.12
001027-074430-00024-X,"הגפן 24, דימונה",86028,exact,202481.99,552683.99,693357.52,3438595.41
001027-074430-00025-X,"הגפן 25, דימונה",86028,exact,202466.63,552648.64,693342.87,3438559.77
001027-074430-00026-X,"הגפן 26, דימונה",86028,exact,202477.18,552677.27,693352.85,3438588.60
001027-074430-00027-X,"הגפן 27, דימונה",86028,exact,202447.42,552644.93,693323.73,3438555.67
001027-074430-00028-X,"הגפן 28, דימונה",86028,exact,202461.33,552678.25,693336.98,3438589.26
001027-074430-00029-X,"הגפן 29, דימונה",86028,exact,202438.37,552636.98,693314.84,3438547.54
001027-074430-00030-X,"הגפן 30, דימונה",86028,exact,202449.18,552675.94,693324.88,3438586.72
001027-074430-00031-X,"הגפן 31, דימונה",86028,exact,202422.30,552636.32,693298.79,3438546.57
001027-074430-00032-X,"הגפן 32, דימונה",86028,exact,202440.55,552670.84,693316.35,3438581.44
001027-074430-00033-X,"הגפן 33, דימונה",86028,exact,202419.70,552621.46,693296.48,3438531.65
001027-074430-00034-X,"הגפן 34, דימונה",86028,exact,202423.19,552668.54,693299.04,3438578.80
001027-074430-00035-X,"הגפן 35, דימונה",86028,exact,202391.27,552627.79,693267.92,3438537.43
001027-074430-00036-X,"הגפן 36, דימונה",86028,exact,202399.89,552663.89,693275.83,3438573.69
001027-074430-00037-X,"הגפן 37, דימונה",86028,exact,202379.34,552619.02,693256.18,3438528.42
001027-074430-00040-X,"הגפן 40, דימונה",86028,exact,202375.91,552650.72,693252.12,3438560.04
001027-074430-00041-X,"הגפן 41, דימונה",86028,exact,202352.54,552610.90,693229.54,3438519.77
001027-074430-00042-X,"הגפן 42, דימונה",86028,exact,202352.88,552650.35,693229.09,3438559.22
001027-074430-00043-X,"הגפן 43, דימונה",86028,exact,202329.02,552599.77,693206.24,3438508.17
001027-074430-00044-X,"הגפן 44, דימונה",86028,exact,202340.20,552636.36,693216.70,3438544.98
001027-074430-00045-X,"הגפן 45, דימונה",86028,exact,202313.72,552591.61,693191.11,3438499.71
001027-074430-00046-X,"הגפן 46, דימונה",86028,exact,202325.72,552630.49,693202.33,3438538.82
001027-074430-00048-X,"הגפן 48, דימונה",86028,street,202374.59,552635.90,693251.09,3438545.20
001027-074430-00049-X,"הגפן 49, דימונה",86028,exact,202285.69,552573.12,693163.45,3438480.67
001027-074430-00050-X,"הגפן 50, דימונה",86028,street,202374.59,552635.90,693251.09,3438545.20
001027-074430-00051-X,"הגפן 51, דימונה",86028,exact,202269.86,552567.27,693147.74,3438474.51
001027-074730-00000-X,"האשל, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00016-X,"האשל 16, דימונה",86025,exact,202783.89,552847.77,693656.12,3438765.16
001027-074730-00552-X,"האשל 552, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00554-X,"האשל 554, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00555-X,"האשל 555, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00557-X,"האשל 557, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00558-X,"האשל 558, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00560-X,"האשל 560, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00561-X,"האשל 561, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00562-X,"האשל 562, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00563-X,"האשל 563, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00564-X,"האשל 564, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00566-X,"האשל 566, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00567-X,"האשל 567, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00568-X,"האשל 568, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00569-X,"האשל 569, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00570-X,"האשל 570, דימונה",86025,street,202817.04,552828.53,693689.65,3438746.59
001027-075069-00010-X,"ההדס 10, דימונה",86028,exact,202820.66,552615.19,693697.51,3438533.35
001027-075069-00521-X,"ההדס 521, דימונה",86028,street,202812.20,552635.35,693688.65,3438553.34
001027-075069-00522-X,"ההדס 522, דימונה",86028,street,202812.20,552635.35,693688.65,3438553.34
001027-075069-00524-X,"ההדס 524, דימונה",86028,street,202812.20,552635.35,693688.65,3438553.34
001027-075069-00525-X,"ההדס 525, דימונה",86028,street,202812.20,552635.35,693688.65,3438553.34
001027-075069-00526-X,"ההדס 526, דימונה",86028,street,202812.20,552635.35,693688.65,3438553.34
001027-075069-00530-X,"ההדס 530, דימונה",86028,street,202812.20,552635.35,693688.65,3438553.34
001027-075069-00531-X,"ההדס 531, דימונה",86028,street,202812.20,552635.35,693688.65,3438553.34
001027-075520-00000-X,"שד גולדה מאיר, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
