id,city,street,house_number,entrance,zip,govmap_status,govmap_lat,govmap_lon,google_fwd_status,google_fwd_lat,google_fwd_lon,google_fwd_full,osm_fwd_status,osm_fwd_lat,osm_fwd_lon,osm_fwd_full,dist_govmap_google_m,dist_govmap_osm_m,dist_google_osm_m,google_rev_at_govmap_street,google_rev_at_govmap_house,google_rev_at_govmap_match,osm_rev_at_govmap_street,osm_rev_at_govmap_house,osm_rev_at_govmap_match,osm_rev_at_google_street,osm_rev_at_google_house,osm_rev_at_google_match,google_rev_at_osm_street,google_rev_at_osm_house,google_rev_at_osm_match,flags
001027-073567-00011-X,דימונה,אבן גבירול,35,,,exact,31.075526,35.044302,OK,31.075495,35.044218,"Shlomo Ibn Gabirol St 35, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",8.7,69.8,65.2,שלמה אבן גבירול,35,partial,יצחק שמיר,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00012-X,דימונה,אבן גבירול,22,,,exact,31.074982,35.043479,OK,31.074971,35.043404,"Shlomo Ibn Gabirol St 22, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",7.2,98.6,101.4,שלמה אבן גבירול,22,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00013-X,דימונה,אבן גבירול,51,,,exact,31.073964,35.044221,OK,31.073951,35.044193,"Shlomo Ibn Gabirol St 51, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",3.1,216.0,216.7,שלמה אבן גבירול,51,partial,אלחריזי,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00014-X,דימונה,אבן גבירול,19,,,exact,31.076303,35.043308,OK,31.076292,35.043268,"Shlomo Ibn Gabirol St 19, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",4.0,61.0,62.3,שלמה אבן גבירול,19,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00015-X,דימונה,אבן גבירול,4,,,exact,31.075841,35.042141,OK,31.075817,35.042066,"Shlomo Ibn Gabirol St 4, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",7.7,146.7,153.9,שלמה אבן גבירול,459,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00016-X,דימונה,אבן גבירול,16,,,exact,31.075498,35.043403,OK,31.075513,35.043356,"Shlomo Ibn Gabirol St 16, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",4.8,47.5,48.8,שלמה אבן גבירול,16,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00017-X,דימונה,אבן גבירול,24,,,exact,31.074819,35.043415,OK,31.074844,35.043359,"Shlomo Ibn Gabirol St 24, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",6.1,117.6,116.1,שלמה אבן גבירול,451,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00018-X,דימונה,אבן גבירול,43,,,exact,31.074735,35.044240,OK,31.074732,35.044188,"Shlomo Ibn Gabirol St 43, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",5.0,135.2,133.6,שלמה אבן גבירול,43,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00019-X,דימונה,אבן גבירול,47,,,exact,31.074275,35.044315,OK,31.074329,35.044313,"Shlomo Ibn Gabirol St 47, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",6.1,185.4,179.6,שלמה אבן גבירול,47,partial,יצחק שמיר,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00020-X,דימונה,אבן גבירול,1,,,exact,31.076291,35.041877,OK,31.076143,35.041679,"Shlomo Ibn Gabirol St 1, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",25.0,178.6,193.5,אלחריזי,1,mismatch,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00021-X,דימונה,אבן גבירול,15,,,exact,31.076531,35.043053,OK,31.076535,35.043016,"Shlomo Ibn Gabirol St 15, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",3.5,95.8,98.4,שלמה אבן גבירול,15,partial,הרב אלנקוה,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00022-X,דימונה,אבן גבירול,2,,,exact,31.075877,35.041985,OK,31.075839,35.041922,"Shlomo Ibn Gabirol St 2, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",7.3,161.6,167.7,אלחריזי,3,mismatch,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00023-X,דימונה,אבן גבירול,30,,,exact,31.074310,35.043478,OK,31.074334,35.043445,"Shlomo Ibn Gabirol St 30, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",4.2,172.4,170.1,שלמה אבן גבירול,30,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00024-X,דימונה,אבן גבירול,45,,,exact,31.074424,35.044246,OK,31.074423,35.044212,"Shlomo Ibn Gabirol St 45, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",3.2,167.6,166.8,שלמה אבן גבירול,45,partial,יצחק שמיר,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00025-X,דימונה,אבן גבירול,5,,,exact,31.076529,35.042124,OK,31.076539,35.042113,"Shlomo Ibn Gabirol St 5, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",1.6,166.1,167.6,שלמה אבן גבירול,5,partial,הרב אלנקוה,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00026-X,דימונה,אבן גבירול,11,,,exact,31.076297,35.042793,OK,31.076335,35.042779,"Shlomo Ibn Gabirol St 11, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",4.5,97.7,101.0,שלמה אבן גבירול,11,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00027-X,דימונה,אבן גבירול,31,,,exact,31.075962,35.044195,OK,31.075947,35.044137,"Shlomo Ibn Gabirol St 31, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",5.8,50.7,44.9,שלמה אבן גבירול,31,partial,יצחק שמיר,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00028-X,דימונה,אבן גבירול,7,,,exact,31.076465,35.042312,OK,31.076465,35.042305,"Shlomo Ibn Gabirol St 7, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",0.7,146.9,147.5,שלמה אבן גבירול,7,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00029-X,דימונה,אבן גבירול,34,,,exact,31.073991,35.043486,OK,31.074022,35.043404,"Shlomo Ibn Gabirol St 34, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",8.6,207.4,204.9,שלמה אבן גבירול,34,partial,אלחריזי,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00030-X,דימונה,אבן גבירול,23,,,exact,31.076536,35.043765,OK,31.076161,35.043039,"Shlomo Ibn Gabirol St 23, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",80.9,76.0,69.8,שלמה אבן גבירול,455,partial,הרב אלנקוה,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00031-X,דימונה,אבן גבירול,10,,,exact,31.075839,35.043071,OK,31.076161,35.043039,"Shlomo Ibn Gabirol St 10, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",35.8,58.0,69.8,שלמה אבן גבירול,458,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00032-X,דימונה,אבן גבירול,8,,,exact,31.075898,35.042870,OK,31.075880,35.042828,"Shlomo Ibn Gabirol St 8, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",4.5,77.3,81.2,שלמה אבן גבירול,8,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00033-X,דימונה,אבן גבירול,25,,,exact,31.076463,35.043948,OK,31.076430,35.043343,"Shlomo Ibn Gabirol St 25, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",57.9,72.1,71.4,שלמה אבן גבירול,455,partial,הרב אלנקוה,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00034-X,דימונה,אבן גבירול,3,,,exact,31.076452,35.041945,OK,31.076473,35.041944,"Shlomo Ibn Gabirol St 3, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",2.4,178.2,179.2,שלמה אבן גבירול,3,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00035-X,דימונה,אבן גבירול,37,,,exact,31.075364,35.044219,OK,31.075391,35.043863,"Shlomo Ibn Gabirol St 37, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",34.1,75.0,54.4,שלמה אבן גבירול,35,partial,יצחק שמיר,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00036-X,דימונה,אבן גבירול,6,,,exact,31.075901,35.042333,OK,31.075882,35.042323,"Shlomo Ibn Gabirol St 6, Dimona, 8618106, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",2.3,128.5,129.4,שלמה אבן גבירול,6,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00037-X,דימונה,אבן גבירול,41,,,exact,31.074897,35.044306,OK,31.074890,35.044279,"Shlomo Ibn Gabirol St 41, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",2.7,121.9,121.3,שלמה אבן גבירול,41,partial,יצחק שמיר,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
