id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,utm_x,utm_y
001027-073567-00000-X,"מלכה הנרי, דימונה",דימונה,מלכה הנרי,,,8601100,street,202486.6,552388.56,693367.99,3438300.12
001027-073567-00002-X,"מלכה הנרי 2, דימונה",דימונה,מלכה הנרי,2,,8601101,exact,202574.8,552324.11,693457.47,3438237.43
001027-073567-00262-X,"מלכה הנרי 262, דימונה",דימונה,מלכה הנרי,262,,8601199,street,202486.6,552388.56,693367.99,3438300.12
001027-073567-00265-X,"מלכה הנרי 265, דימונה",דימונה,מלכה הנרי,265,,8601102,exact,202572.64,552349.53,693454.79,3438262.81
001027-073567-00265-א,"מלכה הנרי 265א, דימונה",דימונה,מלכה הנרי,265,א,8601103,exact,202572.64,552349.53,693454.79,3438262.81
001027-073567-00265-ב,"מלכה הנרי 265ב, דימונה",דימונה,מלכה הנרי,265,ב,8601104,exact,202572.64,552349.53,693454.79,3438262.81
001027-073567-00266-X,"מלכה הנרי 266, דימונה",דימונה,מלכה הנרי,266,,8601106,exact,202565.81,552374.22,693447.48,3438287.35
001027-073567-00266-א,"מלכה הנרי 266א, דימונה",דימונה,מלכה הנרי,266,א,8601107,exact,202565.81,552374.22,693447.48,3438287.35
001027-073567-00266-ב,"מלכה הנרי 266ב, דימונה",דימונה,מלכה הנרי,266,ב,8601108,exact,202565.81,552374.22,693447.48,3438287.35
001027-073567-00266-ג,"מלכה הנרי 266ג, דימונה",דימונה,מלכה הנרי,266,ג,8601109,exact,202565.81,552374.22,693447.48,3438287.35
001027-073567-00267-X,"מלכה הנרי 267, דימונה",דימונה,מלכה הנרי,267,,8601110,exact,202564,552400.49,693445.14,3438313.59
001027-073567-00267-ב,"מלכה הנרי 267ב, דימונה",דימונה,מלכה הנרי,267,ב,8601112,exact,202564,552400.49,693445.14,3438313.59
001027-073567-00268-X,"מלכה הנרי 268, דימונה",דימונה,מלכה הנרי,268,,8601114,street,202486.6,552388.56,693367.99,3438300.12
001027-073567-00268-א,"מלכה הנרי 268א, דימונה",דימונה,מלכה הנרי,268,א,8601115,street,202486.6,552388.56,693367.99,3438300.12
001027-073567-00268-ב,"מלכה הנרי 268ב, דימונה",דימונה,מלכה הנרי,268,ב,8601116,street,202486.6,552388.56,693367.99,3438300.12
001027-073567-00268-ג,"מלכה הנרי 268ג, דימונה",דימונה,מלכה הנרי,268,ג,8601117,street,202486.6,552388.56,693367.99,3438300.12
001027-073567-00268-ה,"מלכה הנרי 268ה, דימונה",דימונה,מלכה הנרי,268,ה,8601119,street,202486.6,552388.56,693367.99,3438300.12
001027-073567-00269-X,"מלכה הנרי 269, דימונה",דימונה,מלכה הנרי,269,,8601123,street,202486.6,552388.56,693367.99,3438300.12
001027-073567-00269-א,"מלכה הנרי 269א, דימונה",דימונה,מלכה הנרי,269,א,8601124,street,202486.6,552388.56,693367.99,3438300.12
001027-073567-00269-ב,"מלכה הנרי 269ב, דימונה",דימונה,מלכה הנרי,269,ב,8601125,street,202486.6,552388.56,693367.99,3438300.12
001027-073567-00269-ד,"מלכה הנרי 269ד, דימונה",דימונה,מלכה הנרי,269,ד,8601127,street,202486.6,552388.56,693367.99,3438300.12
001027-073822-00121-X,"? 121, דימונה",דימונה,?,121,,8601128,none,,,,
001027-073822-00121-א,"? 121א, דימונה",דימונה,?,121,א,8601129,none,,,,
001027-073822-00121-ב,"? 121ב, דימונה",דימונה,?,121,ב,8601130,none,,,,
001027-073822-00121-ג,"? 121ג, דימונה",דימונה,?,121,ג,8601131,none,,,,
001027-073822-00122-ב,"? 122ב, דימונה",דימונה,?,122,ב,8601135,none,,,,
001027-073822-00123-X,"? 123, דימונה",דימונה,?,123,,8601137,none,,,,
001027-073822-00123-א,"? 123א, דימונה",דימונה,?,123,א,8601138,none,,,,
001027-073822-00123-ב,"? 123ב, דימונה",דימונה,?,123,ב,8601139,none,,,,
001027-073822-00124-X,"? 124, דימונה",דימונה,?,124,,8601141,none,,,,
001027-073822-00124-א,"? 124א, דימונה",דימונה,?,124,א,8601142,none,,,,
001027-073822-00124-ב,"? 124ב, דימונה",דימונה,?,124,ב,8601143,none,,,,
001027-073822-00124-ג,"? 124ג, דימונה",דימונה,?,124,ג,8601144,none,,,,
001027-073822-00125-X,"? 125, דימונה",דימונה,?,125,,8601145,none,,,,
001027-073822-00125-א,"? 125א, דימונה",דימונה,?,125,א,8601146,none,,,,
001027-073822-00125-ג,"? 125ג, דימונה",דימונה,?,125,ג,8601148,none,,,,
001027-073822-00258-X,"? 258, דימונה",דימונה,?,258,,8612302,none,,,,
001027-073822-00261-X,"? 261, דימונה",דימונה,?,261,,8601149,none,,,,
001027-073822-00262-X,"? 262, דימונה",דימונה,?,262,,8612305,none,,,,
001027-073822-00265-X,"? 265, דימונה",דימונה,?,265,,8612308,none,,,,
001027-074211-00002-X,"התאנה 2, דימונה",דימונה,התאנה,2,,8602701,exact,202359.8,552540.39,693238.2,3438449.41
001027-074211-00220-X,"התאנה 220, דימונה",דימונה,התאנה,220,,8602704,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00222-X,"התאנה 222, דימונה",דימונה,התאנה,222,,8602705,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00224-X,"התאנה 224, דימונה",דימונה,התאנה,224,,8602706,street,202509.7,552600.96,693386.87,3438512.95
