id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,utm_x,utm_y,source_file,status
001027-080850-00051-X,"הרצל 51, דימונה",דימונה,הרצל,51,,8602102,street,202895.25,552939.24,693765.65,3438858.83,File B (Preferred),resolved_preference
001027-073567-02446-X,"קרני חיטין 28, דימונה",דימונה,קרני חיטין,28,,,exact,203912.68,551616.51,,,File A,ok
001027-073567-02447-X,"מורן החורש 19, דימונה",דימונה,מורן החורש,19,,,exact,203880.34,554173.14,,,File A,ok
001027-073567-02448-X,"גמלא 34, דימונה",דימונה,גמלא,34,,,none,,,,,File A,ok
001027-083571-00126-X,"שד בן גוריון 126, דימונה",דימונה,שד בן גוריון,126,,8607653,street,203242.08,553470.71,694101.87,3439397.11,File B (Preferred),resolved_preference
001027-074211-00342-X,"התאנה 342, דימונה",דימונה,התאנה,342,,8602729,street,202509.70,552600.96,693386.87,3438512.95,File B (Preferred),resolved_preference
001027-073567-02451-X,"מורן החורש 11, דימונה",דימונה,מורן החורש,11,,,exact,203792.49,554177.96,,,File A,ok
001027-073567-02452-X,"קרני חיטין 15, דימונה",דימונה,קרני חיטין,15,,,exact,203866.86,551577.61,,,File A,ok
001027-073567-02453-X,"חצב 28, דימונה",דימונה,חצב,28,,,none,,,,,File A,ok
001027-073567-02454-X,"מבצר עכו 28, דימונה",דימונה,מבצר עכו,28,,,none,,,,,File A,ok
001027-073567-02455-X,"קיסריה 24, דימונה",דימונה,קיסריה,24,,,exact,203624.69,551782.88,,,File A,ok
001027-083571-01103-X,"שד בן גוריון 1103, דימונה",דימונה,שד בן גוריון,1103,,8607673,street,203242.08,553470.71,694101.87,3439397.11,File B (Preferred),resolved_preference
001027-073567-02457-X,"שיזף 73, דימונה",דימונה,שיזף,73,,,exact,203525.36,554485.78,,,File A,ok
001027-082952-01013-X,"העצמאות 1013, דימונה",דימונה,העצמאות,1013,,8605010,street,202751.72,553170.26,693617.55,3439086.97,File B (Preferred),resolved_preference
001027-082952-01013-א,"העצמאות 1013, דימונה",דימונה,העצמאות,1013,א,8605011,street,202751.72,553170.26,693617.55,3439086.97,File B (Preferred),resolved_preference
001027-082952-01013-ב,"העצמאות 1013, דימונה",דימונה,העצמאות,1013,ב,8605012,street,202751.72,553170.26,693617.55,3439086.97,File B (Preferred),resolved_preference
