itm_x	itm_y
203626.42	552577.97
203751.86	552507
203509.91	552305.2
203566.8	552308.98
203571.51	552830.03
203572.29	552802.95
203571.26	552777.36
203614.49	552798.72
202871.68	552705.97
202908.92	552713.15
202935.93	552721.84
202932.14	552706.96
202896.62	552684.71
202848.27	552719.96
202668.81	552527.14
202265.62	552491.84
203078.1	552102.6
203066.32	552086.99
203312.83	552404.85
202751.72	553170.26
203414.1	553423.19
202836.93	553355.42
202856.83	553395.93
202892.3	553398.27
203135.98	553448.62
203146.61	553442.46
203145.34	553407.65
203158.1	553448.46
203153.49	553403.92
203173.79	553442.53
203160.41	553408.1
203184.66	553447.5
203197.75	553443.13
203276.69	553445.51
203287.76	553409.03
203321.04	553409.5
203316.3	553452.31
203337.64	553406.58
203330.36	553458.23
203384.15	553406.65
203421.51	553407.46
203442.13	553406.6
203499.35	553406.65
203517.88	553407.21
203390.82	553447.81
203401.8	553452.83
203576.19	553406.29
203417.01	553455.12
203429.92	553453.12
203680.28	553414.95
203444.84	553460.36
203698.07	553412.43
203717.15	553413.97
203752.27	553440.54
203733.07	553414.52
203783.24	553439.08
203778.09	553406.73
203821.18	553419.81
203799.26	553398.7
203835.03	553412.49
203812.91	553385.3
203850.56	553397.37
203827.32	553372.24
203859.24	553382.7
203839.82	553362.68
203902.83	553339.69
203919.73	553325.58
203866.33	553328.17
203927.39	553308.81
203879.46	553316.6
203933.68	553294.8
203943.87	553276.19
203902.21	553289.55
203950.08	553260.02
203914.23	553270.3
203959.03	553220.57
203971.78	553210.79
203948.7	553187.15
203961.28	553174.93
203992.56	553187.48
203972.65	553166.08
203983.67	553155
203995.95	553146.33
204005.14	553132.28
203282.68	553445.72
203110.71	553353
203123.12	553023.36
203123.89	553050.53
203123.32	553078.57
203123.18	553106.61
203123.12	553133.56
203119.88	553267
203125.59	553347.79
203123.04	553377.04
203121.89	553405.29
203132.39	553484.17
203133.17	553527.25
203136.3	553582.67
203124.29	553637.86
203124.65	553667.17
203124.85	553721.27
203266.32	553111.76
203160.06	553080.42
203161.79	553106.39
203204.8	553132.23
203108.71	553748.89
203632.95	552804.04
203627.5	552778.71
203645.19	552777.37
203672.84	552789.63
203656.99	552744.12
203687.78	552786.74
203676.03	552733.61
203693.44	552766.84
203221.45	552994.72
203226.62	553020.12
203229.41	553040.97
203228.25	553094.37
203223.78	553131
203230.1	553154.28
203227.5	553165.92
203230.4	553177.56
203230.57	553203.03
203229.59	553222.43
203226.83	553233.38
203229.25	553242.34
203228.99	553262.17
203229.28	553292.54
203229.26	553301.23
203229.21	553312.32
203229.18	553322.86
203229.63	553342.18
203229.9	553363.63
203227.23	553393.52
203230.21	553404.1
203208.72	553492.24
203229.29	553468.93
203242.08	553470.71
203225.59	553602.38
203227.66	553614.83
203228.96	553637.98
203226.74	553651
203226.59	553673.38
203228.86	553684.72
203226.59	553698.36
203214.16	553718.44
203226.44	553183.66
203223.77	553242.5
203225.62	553319.82
203232.71	553715.96
203224.88	553544.43
203223.33	553471.96
203263.84	553698.28
203261.49	553895.1
203306.21	553544.75
203308.18	553548.54
203327.74	553524.91
203315.55	553549.38
203330.38	553532.39
203324.72	553554.51
203338.52	553534.14
203329.19	553560.25
203340.08	553566.59
203342.63	553573.2
203353.99	553546.5
203348.98	553571.67
203363.2	553548.4
203351.39	553578.83
203357.5	553576.58
203375.45	553557.58
203371.33	553591.13
203396.59	553560.65
203368.68	553597.42
203428.16	553563.88
203402.32	553595.73
203461.18	553573.7
203431.95	553580.41
203505.66	553600.46
203514.55	553606.48
203517.23	553601.85
203524.42	553612.48
203529.97	553609.55
203468.85	553616.25
203541.38	553612.24
203487.32	553627.07
203544.84	553617.92
203490.3	553622.47
203548.48	553626.19
203497.14	553633.07
203509.09	553634.14
203558.44	553632.68
203508.41	553640.33
203521.61	553642.58
203529.14	553641.65
203533.71	553650.19
203543.2	553649.84
203572.48	553673.05
203584.75	553680.08
203597.6	553680.57
203497.57	553750.43
203720.8	553818.27
203568.61	553767.12
204020.41	553366.47
203693.56	553443.67
203731.37	553444.65
203696.59	553460.46
203729.69	553463.59
203695.74	553477.82
203729.46	553479.51
203697.14	553500.97
203732.66	553521.28
203708.24	553535.58
203770.8	553553.05
203758.87	553579.47
203828.35	553540.47
203792.51	553587.66
203853.58	553533.44
203830.39	553580.99
203878.22	553507.46
203845.23	553573.79
203892.45	553496.25
203873.72	553562.33
203902.31	553481.92
203884.14	553549.75
203902.05	553537.64
203926.9	553457.95
203912.29	553521.11
203938.59	553442.93
203922.9	553505.93
203954.74	553425.22
203935.44	553492.94
203963.63	553408.51
203948.43	553478.38
203989.06	553383.56
203980.77	553449.37
203998.96	553368.65
203994.15	553434.26
204012.67	553353.58
203997.05	553421.45
204032.13	553331.92
204045.36	553313.16
204020.03	553392.07
204034.67	553377.25
204070.14	553280.66
204045.8	553366.33
204076.83	553263.26
204059.88	553352.38
204075.88	553243.46
204078.58	553357.8
204071.4	553225.7
204103.68	553363.73
204062.36	553194.95
204140.76	553356.15
204057.18	553177.38
204148.46	553337.16
204058.28	553159.5
204152.82	553315.72
204069.66	553124.42
204139.1	553304.53
204077.71	553107.43
204121.37	553292.43
204078.93	553089.54
204093.75	553302.53
204078.34	553074.29
204082.14	553042.32
204108.26	553257.56
204080.42	553029.05
204107.66	553241.47
204078.42	553012.94
204101.69	553225.05
204096.79	553210.33
204073.49	552978.76
204096.29	553194.46
204089.03	553179.12
204095.22	553144.34
204103.94	553131.57
204108.99	553116.52
204110.6	553075.69
204113.47	553043.73
204111.43	553029.14
204110.42	552997.73
204109.51	552979.97
204104.31	552965.82
203903.49	553393.85
203804.36	553469.54
203843.54	553486.72
203824.83	553462.3
203857.41	553474.43
203836.83	553447.48
203869.58	553461.99
203849.41	553437.54
203882.56	553451.85
203867.67	553429.59
203897.84	553437.78
203878.34	553417.44
203888.38	553402.94
203923.58	553404.8
203936.48	553391.94
203942.79	553342.89
203947.28	553377.13
203953.6	553329.1
203970.7	553351.96
203971.57	553294.6
203987.03	553335.9
203977.96	553275.66
204012.21	553322.36
204033.71	553300.25
204016.08	553286.18
204000.23	553283.34
203282.67	553607.88
203278.16	553626.52
203287.67	553615.57
203287.86	553626.93
203298.03	553616.83
203298.23	553635.28
203307.1	553627.83
203318.04	553629.31
203313.74	553643.79
203322.95	553636.9
203319.79	553653.19
203331.98	553637.48
203513.92	553678.5
203537.78	553687.76
203374.8	553683.85
203582.61	553572.27
203571.84	553552.16
203582.27	553478.28
203592.02	553455.25
203619.84	553588.6
203764.61	552657.39
203717.94	552654.01
203740.56	552646.32
203747.58	552641.12
203765.45	552639.8
203773.06	552635.64
203788.61	552632.37
203335.03	553495.85
203338.77	553490.35
203339.02	553502.08
203346.76	553492.56
203352.31	553500.16
203362.17	553500.9
203367.14	553515.26
203374.17	553511.97
203369.95	553522.73
