id,city,street,house_number,entrance,zip,govmap_status,govmap_lat,govmap_lon,google_fwd_status,google_fwd_lat,google_fwd_lon,google_fwd_full,osm_fwd_status,osm_fwd_lat,osm_fwd_lon,osm_fwd_full,dist_govmap_google_m,dist_govmap_osm_m,dist_google_osm_m,google_rev_at_govmap_street,google_rev_at_govmap_house,google_rev_at_govmap_match,osm_rev_at_govmap_street,osm_rev_at_govmap_house,osm_rev_at_govmap_match,osm_rev_at_google_street,osm_rev_at_google_house,osm_rev_at_google_match,google_rev_at_osm_street,google_rev_at_osm_house,google_rev_at_osm_match,flags
001027-073567-00000-X,דימונה,אבן גבירול,26,,,street,31.062559,35.026641,OK,31.074702,35.043410,"Shlomo Ibn Gabirol St 26, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",2091.5,2194.9,130.4,הנרי מלכה,24,mismatch,הנרי מלכה,,mismatch,אבן גבירול,,partial,,,mismatch,google_rev_at_govmap_mismatch;osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00001-X,דימונה,אבן גבירול,20,,,none,,,OK,31.075263,35.043561,"Shlomo Ibn Gabirol St 20, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",,,66.6,,,n/a,,,n/a,אבן גבירול,,partial,,,mismatch,govmap_missing;google_rev_at_osm_mismatch
001027-073567-00002-X,דימונה,אבן גבירול,21,,,exact,31.061979,35.027566,OK,31.076437,35.043525,"Shlomo Ibn Gabirol St 21, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",2211.3,2175.3,66.2,הנרי מלכה,2,mismatch,שדרות אריאל שרון,,mismatch,הרב אלנקוה,,mismatch,,,mismatch,google_rev_at_govmap_mismatch;osm_rev_at_govmap_mismatch;osm_rev_at_google_mismatch;google_rev_at_osm_mismatch
001027-073567-00003-X,דימונה,אבן גבירול,33,,,none,,,OK,31.075855,35.043668,"Shlomo Ibn Gabirol St 33, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",,,1.0,,,n/a,,,n/a,אבן גבירול,,partial,,,mismatch,govmap_missing;google_rev_at_osm_mismatch
