id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,lat,lon,utm_x,utm_y,osm_status,osm_lat,osm_lon,osm_utm_x,osm_utm_y,utm_diff_m
001027-073567-00000-X,"מלכה הנרי, דימונה",דימונה,מלכה הנרי,,,8601100,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,OK,31.062543,35.027230,693424.25,3438299.34,56.26
001027-073567-00002-X,"מלכה הנרי 2, דימונה",דימונה,מלכה הנרי,2,,8601101,exact,202574.80,552324.11,31.061979,35.027566,693457.47,3438237.43,OK,31.062543,35.027230,693424.25,3438299.34,70.26
001027-073567-00262-X,"מלכה הנרי 262, דימונה",דימונה,מלכה הנרי,262,,8601199,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,OK,31.062543,35.027230,693424.25,3438299.34,56.26
001027-073567-00265-X,"מלכה הנרי 265, דימונה",דימונה,מלכה הנרי,265,,8601102,exact,202572.64,552349.53,31.062208,35.027543,693454.79,3438262.81,OK,31.062543,35.027230,693424.25,3438299.34,47.61
001027-073567-00265-א,"מלכה הנרי 265א, דימונה",דימונה,מלכה הנרי,265,א,8601103,exact,202572.64,552349.53,31.062208,35.027543,693454.79,3438262.81,OK,31.062543,35.027230,693424.25,3438299.34,47.61
001027-073567-00265-ב,"מלכה הנרי 265ב, דימונה",דימונה,מלכה הנרי,265,ב,8601104,exact,202572.64,552349.53,31.062208,35.027543,693454.79,3438262.81,OK,31.062543,35.027230,693424.25,3438299.34,47.61
001027-073567-00266-X,"מלכה הנרי 266, דימונה",דימונה,מלכה הנרי,266,,8601106,exact,202565.81,552374.22,31.062431,35.027471,693447.48,3438287.35,OK,31.062543,35.027230,693424.25,3438299.34,26.14
001027-073567-00266-א,"מלכה הנרי 266א, דימונה",דימונה,מלכה הנרי,266,א,8601107,exact,202565.81,552374.22,31.062431,35.027471,693447.48,3438287.35,OK,31.062543,35.027230,693424.25,3438299.34,26.14
001027-073567-00266-ב,"מלכה הנרי 266ב, דימונה",דימונה,מלכה הנרי,266,ב,8601108,exact,202565.81,552374.22,31.062431,35.027471,693447.48,3438287.35,OK,31.062543,35.027230,693424.25,3438299.34,26.14
001027-073567-00266-ג,"מלכה הנרי 266ג, דימונה",דימונה,מלכה הנרי,266,ג,8601109,exact,202565.81,552374.22,31.062431,35.027471,693447.48,3438287.35,OK,31.062543,35.027230,693424.25,3438299.34,26.14
001027-073567-00267-X,"מלכה הנרי 267, דימונה",דימונה,מלכה הנרי,267,,8601110,exact,202564.00,552400.49,31.062668,35.027452,693445.14,3438313.59,OK,31.062543,35.027230,693424.25,3438299.34,25.29
001027-073567-00267-ב,"מלכה הנרי 267ב, דימונה",דימונה,מלכה הנרי,267,ב,8601112,exact,202564.00,552400.49,31.062668,35.027452,693445.14,3438313.59,OK,31.062543,35.027230,693424.25,3438299.34,25.29
001027-073567-00268-X,"מלכה הנרי 268, דימונה",דימונה,מלכה הנרי,268,,8601114,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,OK,31.062543,35.027230,693424.25,3438299.34,56.26
001027-073567-00268-א,"מלכה הנרי 268א, דימונה",דימונה,מלכה הנרי,268,א,8601115,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,OK,31.062543,35.027230,693424.25,3438299.34,56.26
001027-073567-00268-ב,"מלכה הנרי 268ב, דימונה",דימונה,מלכה הנרי,268,ב,8601116,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,OK,31.062543,35.027230,693424.25,3438299.34,56.26
001027-073567-00268-ג,"מלכה הנרי 268ג, דימונה",דימונה,מלכה הנרי,268,ג,8601117,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,OK,31.062543,35.027230,693424.25,3438299.34,56.26
001027-073567-00268-ה,"מלכה הנרי 268ה, דימונה",דימונה,מלכה הנרי,268,ה,8601119,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,OK,31.062543,35.027230,693424.25,3438299.34,56.26
001027-073567-00269-X,"מלכה הנרי 269, דימונה",דימונה,מלכה הנרי,269,,8601123,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,OK,31.062543,35.027230,693424.25,3438299.34,56.26
001027-073567-00269-א,"מלכה הנרי 269א, דימונה",דימונה,מלכה הנרי,269,א,8601124,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,OK,31.062543,35.027230,693424.25,3438299.34,56.26
001027-073567-00269-ב,"מלכה הנרי 269ב, דימונה",דימונה,מלכה הנרי,269,ב,8601125,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,OK,31.062543,35.027230,693424.25,3438299.34,56.26
001027-073567-00269-ד,"מלכה הנרי 269ד, דימונה",דימונה,מלכה הנרי,269,ד,8601127,street,202486.60,552388.56,31.062559,35.026641,693367.99,3438300.12,OK,31.062543,35.027230,693424.25,3438299.34,56.26
001027-073822-00121-X,"? 121, דימונה",דימונה,?,121,,8601128,none,,,,,,,unknown_street,,,,,
001027-073822-00121-א,"? 121א, דימונה",דימונה,?,121,א,8601129,none,,,,,,,unknown_street,,,,,
001027-073822-00121-ב,"? 121ב, דימונה",דימונה,?,121,ב,8601130,none,,,,,,,unknown_street,,,,,
001027-073822-00121-ג,"? 121ג, דימונה",דימונה,?,121,ג,8601131,none,,,,,,,unknown_street,,,,,
001027-073822-00122-ב,"? 122ב, דימונה",דימונה,?,122,ב,8601135,none,,,,,,,unknown_street,,,,,
001027-073822-00123-X,"? 123, דימונה",דימונה,?,123,,8601137,none,,,,,,,unknown_street,,,,,
001027-073822-00123-א,"? 123א, דימונה",דימונה,?,123,א,8601138,none,,,,,,,unknown_street,,,,,
001027-073822-00123-ב,"? 123ב, דימונה",דימונה,?,123,ב,8601139,none,,,,,,,unknown_street,,,,,
001027-073822-00124-X,"? 124, דימונה",דימונה,?,124,,8601141,none,,,,,,,unknown_street,,,,,
001027-073822-00124-א,"? 124א, דימונה",דימונה,?,124,א,8601142,none,,,,,,,unknown_street,,,,,
001027-073822-00124-ב,"? 124ב, דימונה",דימונה,?,124,ב,8601143,none,,,,,,,unknown_street,,,,,
001027-073822-00124-ג,"? 124ג, דימונה",דימונה,?,124,ג,8601144,none,,,,,,,unknown_street,,,,,
001027-073822-00125-X,"? 125, דימונה",דימונה,?,125,,8601145,none,,,,,,,unknown_street,,,,,
001027-073822-00125-א,"? 125א, דימונה",דימונה,?,125,א,8601146,none,,,,,,,unknown_street,,,,,
001027-073822-00125-ג,"? 125ג, דימונה",דימונה,?,125,ג,8601148,none,,,,,,,unknown_street,,,,,
001027-073822-00258-X,"? 258, דימונה",דימונה,?,258,,8612302,none,,,,,,,unknown_street,,,,,
001027-073822-00261-X,"? 261, דימונה",דימונה,?,261,,8601149,none,,,,,,,unknown_street,,,,,
001027-073822-00262-X,"? 262, דימונה",דימונה,?,262,,8612305,none,,,,,,,unknown_street,,,,,
001027-073822-00265-X,"? 265, דימונה",דימונה,?,265,,8612308,none,,,,,,,unknown_street,,,,,
001027-074211-00002-X,"התאנה 2, דימונה",דימונה,התאנה,2,,8602701,exact,202359.80,552540.39,31.063927,35.025310,693238.20,3438449.41,OK,31.064491,35.026752,693374.66,3438514.43,151.16
001027-074211-00220-X,"התאנה 220, דימונה",דימונה,התאנה,220,,8602704,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00222-X,"התאנה 222, דימונה",דימונה,התאנה,222,,8602705,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00224-X,"התאנה 224, דימונה",דימונה,התאנה,224,,8602706,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00230-X,"התאנה 230, דימונה",דימונה,התאנה,230,,8602709,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00232-X,"התאנה 232, דימונה",דימונה,התאנה,232,,8602710,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00234-X,"התאנה 234, דימונה",דימונה,התאנה,234,,8602711,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00236-X,"התאנה 236, דימונה",דימונה,התאנה,236,,8602712,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00238-X,"התאנה 238, דימונה",דימונה,התאנה,238,,8602713,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00240-X,"התאנה 240, דימונה",דימונה,התאנה,240,,8602714,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00242-X,"התאנה 242, דימונה",דימונה,התאנה,242,,8602715,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00244-X,"התאנה 244, דימונה",דימונה,התאנה,244,,8602716,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00246-X,"התאנה 246, דימונה",דימונה,התאנה,246,,8602717,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00248-X,"התאנה 248, דימונה",דימונה,התאנה,248,,8602718,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00250-X,"התאנה 250, דימונה",דימונה,התאנה,250,,8602719,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00254-X,"התאנה 254, דימונה",דימונה,התאנה,254,,8602721,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
